"trnNumber","stnCode","trnNumberXO","type","departureDaysOfWeek","updatedOnNum"
"12903","AGC","12951","O","127","1756000000"
"12903","NZM","12951","C","127","1756000000"
"12904","MMCT","12903","C","127","1756000000"
"12904","MMCT","12952","C","127","1756000000"
"12904","BRC","12903","C","127","1756000000"
"12904","BRC","12952","O","127","1756000000"
"12904","RTM","12903","O","127","1756000000"
"12904","RTM","12942","C","127","1756000000"
"12904","KOTA","12903","C","127","1756000000"
"12904","KOTA","12942","O","127","1756000000"
"12904","SWM","12942","C","127","1756000000"
"12904","AGC","12952","C","127","1756000000"
"12904","NZM","12952","O","127","1756000000"
"12309","NDLS","12310","C","127","1756000000"
"12309","NDLS","12301","O","127","1756000000"
"12309","CNB","12310","O","127","1756000000"
"12309","CNB","12301","C","127","1756000000"
"12309","DDU","12301","O","127","1756000000"
"12309","DDU","12313","C","127","1756000000"
"12309","PNBE","12301","C","127","1756000000"
"12309","PNBE","12313","O","127","1756000000"
"12310","NDLS","12309","C","127","1756000000"
"12310","NDLS","12302","C","127","1756000000"
"12310","CNB","12309","C","127","1756000000"
"12310","CNB","12302","O","127","1756000000"
"12310","DDU","12302","C","127","1756000000"
"12310","DDU","12314","O","127","1756000000"
"12310","PNBE","12302","O","127","1756000000"
"12310","PNBE","12314","C","127","1756000000"
"12313","NDLS","12314","C","9","1756000000"
"12313","NDLS","12301","C","9","1756000000"
"12313","CNB","12314","O","9","1756000000"
"12313","CNB","12301","O","9","1756000000"
"12313","DDU","12301","O","9","1756000000"
"12313","DDU","12309","O","9","1756000000"
"12313","SDAH","12314","C","9","1756000000"
"12314","NDLS","12313","C","36","1756000000"
"12314","NDLS","12302","O","36","1756000000"
"12314","CNB","12313","C","36","1756000000"
"12314","CNB","12302","C","36","1756000000"
"12314","DDU","12302","C","36","1756000000"
"12314","DDU","12310","C","36","1756000000"
"12314","SDAH","12313","O","36","1756000000"
"12259","NDLS","12260","C","127","1756000000"
"12259","NDLS","12301","O","127","1756000000"
"12259","AGC","12260","O","127","1756000000"
"12259","GWL","12260","C","127","1756000000"
"12259","JHS","12260","O","127","1756000000"
"12259","BPL","12260","C","127","1756000000"
"12259","NGP","12260","O","127","1756000000"
"12259","BZA","12260","C","127","1756000000"
"12259","MAS","12260","O","127","1756000000"
"12260","NDLS","12259","C","127","1756000000"
"12260","NDLS","12302","C","127","1756000000"
"12260","AGC","12259","C","127","1756000000"
"12260","GWL","12259","O","127","1756000000"
"12260","JHS","12259","C","127","1756000000"
"12260","BPL","12259","O","127","1756000000"
"12260","NGP","12259","C","127","1756000000"
"12260","BZA","12259","O","127","1756000000"
"12260","MAS","12259","C","127","1756000000"
"12625","NDLS","12626","C","127","1756000000"
"12625","NDLS","12301","C","127","1756000000"
"12625","CNB","12626","O","127","1756000000"
"12625","DDU","12626","C","127","1756000000"
"12625","DDU","12301","O","127","1756000000"
"12625","TVC","12626","O","127","1756000000"
"12626","NDLS","12625","C","127","1756000000"
"12626","NDLS","12302","O","127","1756000000"
"12626","CNB","12625","C","127","1756000000"
"12626","DDU","12625","O","127","1756000000"
"12626","DDU","12302","C","127","1756000000"
"12626","TVC","12625","C","127","1756000000"
"12627","NDLS","12628","C","127","1756000000"
"12627","NDLS","12301","O","127","1756000000"
"12627","CNB","12628","O","127","1756000000"
"12627","DDU","12628","C","127","1756000000"
"12627","BBS","12628","O","127","1756000000"
"12628","NDLS","12627","C","127","1756000000"
"12628","NDLS","12302","C","127","1756000000"
"12628","CNB","12627","C","127","1756000000"
"12628","DDU","12627","O","127","1756000000"
"12628","BBS","12627","C","127","1756000000"
"12621","NDLS","12622","C","127","1756000000"
"12621","CNB","12622","O","127","1756000000"
"12621","DDU","12622","C","127","1756000000"
"12621","MAS","12622","O","127","1756000000"
"12622","NDLS","12621","C","127","1756000000"
"12622","CNB","12621","C","127","1756000000"
"12622","DDU","12621","O","127","1756000000"
"12622","MAS","12621","C","127","1756000000"
"12423","NDLS","12424","C","127","1756000000"
"12423","AGC","12424","O","127","1756000000"
"12423","GWL","12424","C","127","1756000000"
"12423","JHS","12424","O","127","1756000000"
"12423","BPL","12424","C","127","1756000000"
"12423","NGP","12424","O","127","1756000000"
"12423","DURG","12424","C","127","1756000000"
"12424","NDLS","12423","C","127","1756000000"
"12424","AGC","12423","C","127","1756000000"
"12424","GWL","12423","O","127","1756000000"
"12424","JHS","12423","C","127","1756000000"
"12424","BPL","12423","O","127","1756000000"
"12424","NGP","12423","C","127","1756000000"
"12424","DURG","12423","O","127","1756000000"
"12431","NDLS","12432","C","127","1756000000"
"12431","RTM","12432","O","127","1756000000"
"12431","INDB","12432","C","127","1756000000"
"12431","BPL","12432","O","127","1756000000"
"12431","NGP","12432","C","127","1756000000"
"12431","BSP","12432","O","127","1756000000"
"12431","R","12432","C","127","1756000000"
"12432","NDLS","12431","C","127","1756000000"
"12432","RTM","12431","C","127","1756000000"
"12432","INDB","12431","O","127","1756000000"
"12432","BPL","12431","C","127","1756000000"
"12432","NGP","12431","O","127","1756000000"
"12432","BSP","12431","C","127","1756000000"
"12432","R","12431","O","127","1756000000"
"22691","NDLS","22692","C","127","1756000000"
"22691","CNB","22692","O","127","1756000000"
"22691","DDU","22692","C","127","1756000000"
"22691","PNBE","22692","O","127","1756000000"
"22691","RNC","22692","C","127","1756000000"
"22691","BBS","22692","O","127","1756000000"
"22692","NDLS","22691","C","127","1756000000"
"22692","CNB","22691","C","127","1756000000"
"22692","DDU","22691","O","127","1756000000"
"22692","PNBE","22691","C","127","1756000000"
"22692","RNC","22691","O","127","1756000000"
"22692","BBS","22691","C","127","1756000000"
"12245","HWH","12246","C","127","1756000000"
"12245","DHN","12246","O","127","1756000000"
"12245","GAYA","12246","C","127","1756000000"
"12245","DDU","12246","O","127","1756000000"
"12245","CNB","12246","C","127","1756000000"
"12245","BE","12246","O","127","1756000000"
"12246","HWH","12245","C","127","1756000000"
"12246","DHN","12245","C","127","1756000000"
"12246","GAYA","12245","O","127","1756000000"
"12246","DDU","12245","C","127","1756000000"
"12246","CNB","12245","O","127","1756000000"
"12246","BE","12245","C","127","1756000000"
"12269","NDLS","12270","C","127","1756000000"
"12269","CNB","12270","O","127","1756000000"
"12269","DDU","12270","C","127","1756000000"
"12269","PNBE","12270","O","127","1756000000"
"12269","RNC","12270","C","127","1756000000"
"12269","MAS","12270","O","127","1756000000"
"12270","NDLS","12269","C","127","1756000000"
"12270","CNB","12269","C","127","1756000000"
"12270","DDU","12269","O","127","1756000000"
"12270","PNBE","12269","C","127","1756000000"
"12270","RNC","12269","O","127","1756000000"
"12270","MAS","12269","C","127","1756000000"
"12841","MMCT","12842","C","127","1756000000"
"12841","BRC","12842","O","127","1756000000"
"12841","RTM","12842","C","127","1756000000"
"12841","KOTA","12842","O","127","1756000000"
"12841","SWM","12842","C","127","1756000000"
"12841","NZM","12842","O","127","1756000000"
"12842","MMCT","12841","C","127","1756000000"
"12842","BRC","12841","C","127","1756000000"
"12842","RTM","12841","O","127","1756000000"
"12842","KOTA","12841","C","127","1756000000"
"12842","SWM","12841","O","127","1756000000"
"12842","NZM","12841","C","127","1756000000"
"12953","MMCT","12954","C","127","1756000000"
"12953","BRC","12954","O","127","1756000000"
"12953","ADI","12954","C","127","1756000000"
"12953","JP","12954","O","127","1756000000"
"12953","NDLS","12954","C","127","1756000000"
"12954","MMCT","12953","C","127","1756000000"
"12954","BRC","12953","C","127","1756000000"
"12954","ADI","12953","O","127","1756000000"
"12954","JP","12953","C","127","1756000000"
"12954","NDLS","12953","O","127","1756000000"
"12915","ADI","12916","C","127","1756000000"
"12915","BRC","12916","O","127","1756000000"
"12915","RTM","12916","C","127","1756000000"
"12915","KOTA","12916","O","127","1756000000"
"12915","NZM","12916","C","127","1756000000"
"12916","ADI","12915","C","127","1756000000"
"12916","BRC","12915","C","127","1756000000"
"12916","RTM","12915","O","127","1756000000"
"12916","KOTA","12915","C","127","1756000000"
"12916","NZM","12915","O","127","1756000000"
"12957","ADI","12958","C","127","1756000000"
"12957","BRC","12958","O","127","1756000000"
"12957","ST","12958","C","127","1756000000"
"12957","MMCT","12958","O","127","1756000000"
"12958","ADI","12957","C","127","1756000000"
"12958","BRC","12957","C","127","1756000000"
"12958","ST","12957","O","127","1756000000"
"12958","MMCT","12957","C","127","1756000000"
"12009","MMCT","12010","C","127","1756000000"
"12009","ST","12010","O","127","1756000000"
"12009","BRC","12010","C","127","1756000000"
"12009","ADI","12010","O","127","1756000000"
"12010","MMCT","12009","C","127","1756000000"
"12010","ST","12009","C","127","1756000000"
"12010","BRC","12009","O","127","1756000000"
"12010","ADI","12009","C","127","1756000000"
"12267","MMCT","12268","C","127","1756000000"
"12267","NGP","12268","O","127","1756000000"
"12267","DURG","12268","C","127","1756000000"
"12267","R","12268","O","127","1756000000"
"12268","MMCT","12267","C","127","1756000000"
"12268","NGP","12267","C","127","1756000000"
"12268","DURG","12267","O","127","1756000000"
"12268","R","12267","C","127","1756000000"
"12123","MMCT","12124","C","127","1756000000"
"12123","PNVL","12124","O","127","1756000000"
"12123","PUNE","12124","C","127","1756000000"
"12124","MMCT","12123","C","127","1756000000"
"12124","PNVL","12123","C","127","1756000000"
"12124","PUNE","12123","O","127","1756000000"
"12261","HWH","12262","C","127","1756000000"
"12261","DHN","12262","O","127","1756000000"
"12261","GAYA","12262","C","127","1756000000"
"12261","DDU","12262","O","127","1756000000"
"12261","CNB","12262","C","127","1756000000"
"12261","NDLS","12262","O","127","1756000000"
"12262","HWH","12261","C","127","1756000000"
"12262","DHN","12261","C","127","1756000000"
"12262","GAYA","12261","O","127","1756000000"
"12262","DDU","12261","C","127","1756000000"
"12262","CNB","12261","O","127","1756000000"
"12262","NDLS","12261","C","127","1756000000"
"12833","ADI","12834","C","127","1756000000"
"12833","BRC","12834","O","127","1756000000"
"12833","NGP","12834","C","127","1756000000"
"12833","DURG","12834","O","127","1756000000"
"12833","HWH","12834","C","127","1756000000"
"12834","ADI","12833","C","127","1756000000"
"12834","BRC","12833","C","127","1756000000"
"12834","NGP","12833","O","127","1756000000"
"12834","DURG","12833","C","127","1756000000"
"12834","HWH","12833","O","127","1756000000"
"12834","ADI","12941","C","127","1756000000"
"12834","ADI","19224","O","127","1756000000"
"12834","ND","12941","C","127","1756000000"
"12433","NDLS","12434","C","127","1756000000"
"12433","CNB","12434","O","127","1756000000"
"12433","DDU","12434","C","127","1756000000"
"12433","PNBE","12434","O","127","1756000000"
"12433","MAS","12434","C","127","1756000000"
"12434","NDLS","12433","C","127","1756000000"
"12434","CNB","12433","C","127","1756000000"
"12434","DDU","12433","O","127","1756000000"
"12434","PNBE","12433","C","127","1756000000"
"12434","MAS","12433","O","127","1756000000"
"12559","NDLS","12560","C","127","1756000000"
"12559","CNB","12560","O","127","1756000000"
"12559","DDU","12560","C","127","1756000000"
"12559","PNBE","12560","O","127","1756000000"
"12559","GHY","12560","C","127","1756000000"
"12560","NDLS","12559","C","127","1756000000"
"12560","CNB","12559","C","127","1756000000"
"12560","DDU","12559","O","127","1756000000"
"12560","PNBE","12559","C","127","1756000000"
"12560","GHY","12559","O","127","1756000000"
"12273","NDLS","12274","C","127","1756000000"
"12273","CNB","12274","O","127","1756000000"
"12273","DDU","12274","C","127","1756000000"
"12273","HWH","12274","O","127","1756000000"
"12274","NDLS","12273","C","127","1756000000"
"12274","CNB","12273","C","127","1756000000"
"12274","DDU","12273","O","127","1756000000"
"12274","HWH","12273","C","127","1756000000"
"12643","NGP","12644","C","127","1756000000"
"12643","DURG","12644","O","127","1756000000"
"12643","BBS","12644","C","127","1756000000"
"12643","MAS","12644","O","127","1756000000"
"12644","NGP","12643","C","127","1756000000"
"12644","DURG","12643","C","127","1756000000"
"12644","BBS","12643","O","127","1756000000"
"12644","MAS","12643","C","127","1756000000"
