"code","name","offName","alias","localName","zone","address","nearestStations","trackType","lat","lng","priority","type","updatedOnNum"
"SKZR","Sirpur Kaghaznagar","SIRPUR KAGAZNGR","kagaznagar","","10","Street Number 19, Sirpur-Kaghaznagar, Komaram Bheem Asifabad Dist., Pin- 504296, Tel- 08738-238717, Telangana","SKZR:0,ASAF:14,SRUR:18,","4","19.34639","79.49012","6","0","0"
"BPA","Bellampalli","BELLAMPALLI","belampalli","","10","Rajiv Rahadari, Mancherial Road, Belampalli, Mancherial Dist., Pin- 504251, Tel- 08735 223298, Telangana","BPA:0,RECH:10,MMZ:10,RVKH:14,MCI:20,ASAF:24,","15","19.05256","79.48608","5","0","0"
"MCI","Manchiryal","MANCHIRYAL","mancherial","","10","Station Rd, Mancherial, 504208 Ph ; 08736 - 254445, Telangana","MCI:0,RVKH:6,PPZ:9,MMZ:10,RDM:14,BPA:20,RGPM:24,","4","18.87953","79.44942","5","0","0"
"RDM","Ramagundam","RAMAGUNDAM","Ramgundam","","10","Kundanpalli, Ramagundam, Peddapalli Dist. Pin Code - 505208 [ Ph : 08728 - 255237], Telangana","RDM:0,PPZ:5,RGPM:10,MCI:14,PDPL:17,RVKH:20,MMZ:24,","4","18.76396","79.43483","5","0","0"
"WL","Warangal","WARANGAL","","Orugallu","10","Warangal Station Rd, Warangal, Pin- 506002, Enquiry No. 0870-2426232, Telangana","WL:0,KZJ:11,CLE:12,PQL:19,YGL:20,HSP:21,NSKL:24,","14","17.97309","79.60566","6","0","0"
"KMT","Khammam","KHAMMAM","","","10","Railway Station Rd, Braman Bazar, Moti Nagar, Khammam, Pin- 507003, Phone: 08742-224541, Telangana","KMT:0,PNDP:9,MLMG:9,PPY:14,CKN:16,NVC:22,DKJ:23,","15","17.24944","80.1388","6","0","0"
"BZA","Vijayawada Jn","VIJAYAWADA JN","","Bezawada","10","East Terminal (Platform-1) - Caltex Road, Hanumanpet, Gandhinagar, Vijayawada, NTR District, PIN-52001. West Terminal (Platform-10), Nehru Road, islampet, Vijayawada, NTR District, PIN-52001., Andhra Pradesh","BZA:0,MDUN:4,KCC:5,RMV:8,RYP:8,MAG:12,PVD:12,NDM:14,KI:14,CLVR:16,UPL:20,GWM:20,CVV:21,DIG:22,NBR:23,TNRU:24,PDKN:25,KLX:25,","4","16.51861","80.61919","9","1","0"
"TEL","Tenali Jn","TENALI JN","","","10","Jn Point BZA/GNT/GDR/RAL, Tel; 08644-227834, 220086, Prakasam road, Chenchupet, Tenali, 522201, Guntur District, Andhra Pradesh","TEL:0,CIV:3,KLX:7,SJL:9,DIG:10,ZPI:10,TSR:12,VJA:14,VMU:14,MDKU:15,CLVR:16,PUMU:20,PVD:20,NDO:22,BQU:23,NGNT:25,","4","16.24187","80.64005","6","1","1567573135"
"CLX","Chirala","CHIRALA","","Kshirapuri","10","Road Number 2, Vital Nagar, Chirala, Bapatla District, 523157, Andhra Pradesh","CLX:0,JAQ:3,IPPM:5,VTM:7,SPF:9,KPLL:11,BPP:15,KVDU:16,CJM:20,APL:24,","4","15.831","80.3536","6","0","0"
"OGL","Ongole","ONGOLE","","","10","Venkaiah Swamy Nagar, Santhapet, Ongole, District - Prakasam. Pincode - 523001., Andhra Pradesh","OGL:0,KRV:9,SDM:10,ANB:15,RPRL:18,TNR:19,UGD:23,","4","15.497987","80.057257","7","0","0"
"NLR","Nellore","NELLORE","","Simhapuri","10","Railway Station Rd, Kapatipalem, Santhapet, Nellore, SPSR (Nellore) District, Pin- 524001, Ph.no 0861-234866, Andhra Pradesh","NLR:0,NLS:2,PGU:4,VDE:7,KJJ:12,VKT:16,","4","14.4606","79.9899","7","0","0"
"GDR","Gudur Jn","GUDUR JN","","","10","Jn. Pt. TEL/MAS/RU, Foot Over Bridge, Narsingharao Pet, Gudur, Tirupathi Dist., Pin- 524101, Ph ; 08624 - 251503, Andhra Pradesh","GDR:0,ODUR:9,MBL:9,KQA:10,PYA:15,VDD:19,VKT:22,","4","14.148475","79.845394","7","1","0"
"MAS","MGR Chennai Ctrl","MGR CHENNAI CTL","Madras","Chennai Central, Madras Central,MGR Central","14","Kannappar Thidal, Station Rd, Periyamet, Chennai Central 600003, Tamil Nadu","MASS:0,MPK:0,MAS:0,MSF:2,MSB:2,BBQ:2,MS:2,WST:3,MSC:3,RPM:3,VJM:4,KOK:4,NBK:5,TNP:5,PCW:5,PER:5,MKK:6,VOC:6,PEW:7,TVT:8,MBM:8,VLK:9,SP:10,KOTR:11,WCN:11,GDY:12,PVM:13,KAVM:14,STM:14,ABU:15,ENR:15,PZA:16,MN:17,TMVL:17,ANNR:18,TLM:18,PV:20,AVD:20,AIPP:20,AIP:22,CMP:22,HC:23,NPKM:23,PAB:24,TBMS:24,MJR:25,","14","13.083847","80.275512","8","2","1558102984"
"KPD","Katpadi Jn","KATPADI JN","","Vellore","14","Junction Point AJJ/PAK/VM/JTJ Ph No; 0416-2642628, NH-234, Chittor Hi-Road, Katpadi, Vellore 632007, Tamil Nadu","KPD:0,SVUR:6,LTI:7,VT:9,VLR:10,BUM:10,VJ:11,THL:12,RAM:16,MCN:17,KVN:18,PNTR:19,KNB:22,PYX:22,GYM:24,SIE:25,WJR:25,","3","12.97218","79.13814","8","1","0"
"JTJ","Jolarpettai Jn","JOLARPETTAI JN","","","14","State Highway-18, Hotel Street,  Jolarpettai, Tirupattur District, Pincode-635851. Telephone Number-04179 241221, Tamil Nadu","JTJ:0,KDY:7,TPT:7,SKPT:9,VN:16,PU:18,KEY:19,KNNT:24,VGM:24,","3","12.5633","78.577942","7","1","0"
"SA","Salem Jn","SALEM JN","Selam","","14","State Highway-188, Azad Nagar, Old Suramangalam, Salem District, Pincode-636005, Tamil Nadu","SA:0,SAMT:4,SXT:6,KPPR:6,VRPD:10,OML:11,MALR:13,APN:15,TNT:16,SMDT:18,MPLI:20,DC:21,KVLR:23,DSPT:23,","3","11.669601","78.113466","7","1","1727417798"
"ED","Erode Jn","ERODE JN","","","14","Junction Point-SA/KRR/CBE. EVN (Chennimalai) Road, Railway Colony, Erode City, Erode District, Pincode-638002. Telephone Number- 0424 2256111., Tamil Nadu","ED:0,CV:5,TPM:6,CVD:11,ANU:13,PY:14,IGR:19,PAS:19,SGE:21,","3","11.32777","77.72572","7","1","0"
"TUP","Tiruppur","TIRUPPUR","Thiruppur","","14","SH 19, Tiruppur. Ph:0421-2200450, Tamil Nadu","TUP:0,VNJ:8,UKL:14,SNO:18,VZ:23,","3","11.1087","77.3398","6","0","0"
"CBE","Coimbatore Jn","COIMBATORE JN","","Kovai","14","[Ph: 0422 - 2301301] Off. NH 948, State Bank Road, Gopalapuram, Coimbatore - 641 018, Tamil Nadu","CBE:0,CBF:3,PTJ:6,PLMD:10,TDE:10,SHI:15,MDKI:16,PKM:17,IGU:18,ETMD:21,SUU:25,CNV:25,","3","10.9962","76.9666","7","1","1606711570"
"PGT","Palakkad Jn","PALAKKAD JN","Palghat palghat","Olavakkode Palghat","14","[Tel; 0491-2555231] Off. NH 966, Railway Station Road, Olavakkode, Palakkad - 678 002, Kerala","PGT:0,PGTN:4,PLL:9,KJKD:14,PDGM:15,MNY:16,KLGD:23,LDY:24,","3","10.79959","76.63711","6","1","1699333096"
"OTP","Ottappalam","OTTAPPALAM","Ottappalam","","14","Railway Station Rd, Ottapalam, Palakkad, Kerala","OTP:0,PLPM:4,MNUR:7,LDY:8,BPZA:11,SRR:12,SRRB:12,VTK:15,VDKS:16,MNY:16,KRKD:18,MUC:19,VPZ:22,PLL:23,PTB:24,","3","10.76962","76.37774","5","0","0"
"SRR","Shoranur Jn","SHORANUR JN","","","14","Shoranur Ring Road, Shoranur, Palakkad District - 679121., Kerala","SRR:0,SRRB:1,BPZA:2,VDKS:4,VTK:4,MNUR:5,KRKD:6,MUC:8,VPZ:10,PTB:12,OTP:12,KZC:14,PLPM:16,WKI:17,LDY:20,CQA:21,PUM:21,MGK:24,","3","10.759024","76.272123","6","1","1699340993"
"WKI","Wadakancheri","WADAKANCHERI","Wadakancheri","","14","Railway Station Rd, Opposite NH 17, Wadackanchery, Kerala","WKI:0,MGK:7,MUC:9,VTK:13,PNQ:14,SRRB:16,SRR:17,BPZA:17,TCR:17,VDKS:21,MNUR:21,KRKD:23,OLR:23,","3","10.6515","76.23962","4","0","1687658763"
"TCR","Thrissur","THRISUR","Trichur Trisur Thrisur Trissur Trishur Thrishur trichur","Thrishivaperoor Trichur","14","Opposite KSRTC bus stand, Thrissur Tel: 0487 2423150, Kerala","TCR:0,PNQ:3,OLR:6,MGK:10,PUK:13,NYI:17,WKI:17,IJK:23,GUV:24,","3","10.51404","76.20771","7","0","0"
"IJK","Irinjalakkuda","IRINJALAKUDA","","","14","Thazhekad Rd, Kalletumkara, Thrissur,Ph 0487-2881243, Kerala","IJK:0,NYI:6,CKI:7,DINR:9,PUK:10,KRAN:13,OLR:17,KUC:17,AFK:22,TCR:23,","3","10.33957","76.28171","4","0","0"
"CKI","Chalakudi","CHALAKUDI","","","14","Chalakudi Mala Rd, Chalakudi, Ph; 0480- 2701368, Kerala","CKI:0,DINR:2,KRAN:6,IJK:7,KUC:10,NYI:13,AFK:15,PUK:17,CWR:21,OLR:24,AWY:24,","3","10.30216","76.32127","4","0","1710714995"
"AFK","Angamali for Kaladi","ANGAMALI","kaladi angamali","","14","Angamaly South (Ernakulam), Pincode 683572 Phone; 0484-2452340, Kerala","AFK:0,KUC:5,CWR:6,KRAN:9,AWY:9,DINR:13,KLMR:15,CKI:15,IPL:20,IJK:22,","3","10.18356","76.37802","4","0","1678568792"
"AWY","Aluva","ALUVA","Alwaye Alluva alwaye","Alwaye","14","Goodshed Road, Aluva, Ernakulam District,  Ph: 0484-2624141, Kerala","AWY:0,CWR:3,KLMR:6,AFK:9,IPL:11,KUC:14,ERN:17,KRAN:18,ERS:20,DINR:22,CKI:24,","3","10.10867","76.35671","6","0","0"
"ERN","Ernakulam Town","ERNAKULAM TOWN","Eranakulam Town Cochin Kochi Kochchi","Kochi,Cochin North","14","Xavier Arakkal Rd, Ernakulam North, Ayyappankavu, Ernakulam Pin - 682018 Tel -  09747715397, Kerala","ERN:0,ERS:3,IPL:6,TRTR:10,KUMM:11,KLMR:11,KFE:14,AROR:16,AWY:17,MNTT:18,CWR:20,EZP:21,KPTM:23,","3","9.99164","76.28661","6","0","1565652178"
"ERS","Ernakulam Jn","ERNAKULAM JN","Eranakulam Cochin Kochi Kochchi","Kochi,Cochin South","14","South Railway Station Road, Ernakulam South, Kochi, Pin - 682016, Tel: 0484- 2376131, Kerala","ERS:0,ERN:3,KUMM:8,TRTR:9,IPL:9,KFE:13,AROR:13,KLMR:14,MNTT:17,EZP:18,AWY:20,KPTM:22,TUVR:23,CWR:23,","3","9.96916","76.29124","7","1","1565651579"
"SRTL","Cherthala","CHERTHALA","Shertalai chertala cherthala sherthala shertala sertala","Sherthalai","14","NH 47, Cherthala,Ph: 0478- 2812500, Kerala","SRTL:0,VAY:6,TRVZ:6,TUVR:10,MAKM:11,KAVR:15,EZP:15,TMPY:20,AROR:20,ALLP:24,KUMM:25,","11","9.691092","76.325607","4","0","1565651295"
"ALLP","Alappuzha","ALLEPPEY","Alleppey Aleppey Allepey Allappuza Allapuzha allepey alleppey","Alleppey","14","NH 47, Alappuzha, Ph;0477-2253965, Kerala","ALLP:0,TMPY:4,PNPR:7,KAVR:9,AMPA:12,MAKM:13,TZH:18,TRVZ:18,SRTL:24,KVTA:25,","11","9.484533","76.322229","5","0","1565651295"
"AMPA","Ambalappuzha","AMBALAPPUZHA","Ambalapuzha","","14","Ambalapuzha, ph 0477-2272620, Kerala","AMPA:0,PNPR:5,TZH:6,ALLP:12,KVTA:13,TMPY:16,HAD:19,KAVR:21,CHPD:24,MAKM:25,","11","9.386442","76.3628","4","0","1565651295"
"HAD","Harippad","HARIPPAD","","","14","Railway Rd, Haripad 0479-2412714, Kerala","HAD:0,CHPD:5,KVTA:6,KYJ:13,TZH:13,AMPA:19,OCR:19,MVLK:20,PNPR:24,","3","9.277667","76.463334","4","0","1565651295"
"KYJ","Kayamkulam Jn","KAYANKULAM JN","Kayankulam","","14","[Jn Pt : KTYM/QLN/ALLP] KP road, Kayamkulam, Alappuzha  Ph : 0479-2442042, Kerala","KYJ:0,OCR:6,MVLK:7,CHPD:8,HAD:13,KPY:14,CYN:14,KVTA:19,CNGR:20,STKT:22,","3","9.18223","76.51275","6","1","1565729466"
"QLN","Kollam Jn","KOLLAM JN","quilon quilon","Quilon","14","Jn Pt KYJ/TVC/TSI, NH-544, Chinnakkada Roundabout, Chamkkada, Kollam District - 691001., Kerala","QLN:0,IRP:5,KLQ:6,CTPE:7,PRND:9,MYY:9,PVU:12,KUV:13,MQO:15,KFV:15,KFI:17,EKN:18,STKT:19,EVA:20,VAK:24,KKZ:25,","3","8.8862","76.5968","7","1","1558104614"
"TVC","Thiruvananthapuram Ctrl","TRIVANDRUM CNTL","tiruvananthapuram tiruvantapuram","Thampanoor Trivandrum","14","Tel; 0471-2321622, Opp KSRTC Bus Stand,Thampanoor / Power House Road, Thiruvananthapuram 695001, Kerala","TVC:0,TVP:3,TVCS:7,TVCN:8,VELI:10,BRAM:13,KZK:14,NYY:17,KXP:18,AMVA:19,MQU:22,DAVM:23,PGZ:25,","3","8.48665","76.95172","6","0","0"
"ADI","Ahmedabad Jn","AHMEDABAD JN","Ahemdabad Ahamdabad Ahmadabad","Kalupur","16","Kalupur Railway Station Road, Sakar Bazar, Kalupur, Ahmedabad , Pin Code - 380002 ., Gujarat","ADI:0,ASV:3,MAN:3,SBT:5,SBIB:6,SAHP:6,SDGM:7,VTA:8,NRD:9,SBID:10,CLDY:10,CDK:11,CBCC:11,GER:13,KHDB:16,ABD:16,MDRA:16,BJD:17,GG:20,KANJ:21,DBO:22,NEP:24,","4","23.02666","72.60152","8","1","1609652925"
"ND","Nadiad Jn","NADIAD JN","","","16","Santram Road, GSRTC Stand, Nadiad, Kheda - 387002, Gujarat","ND:0,UTD:5,GTE:9,KBRV:11,MHD:18,ANND:19,NEP:22,SNA:24,KANJ:25,","3","22.69496","72.85597","6","1","0"
"ANND","Anand Jn","ANAND JN","","","16","Station Road, Anand - 388001, Gujarat","ANND:0,SNA:6,VLYN:6,VXD:7,KBRV:8,KRYR:8,ADD:11,BAJ:11,AGAS:13,UTD:14,OD:15,VDA:15,BHAL:16,ND:19,NDR:20,PTD:22,UMH:22,RNO:23,","3","22.559935","72.968024","7","1","1563381648"
"BRC","Vadodara Jn","VADODARA JN","Baroda","Baroda","16","Alkapuri Road , Sayajiganj , Vadodara - 390005, Gujarat","BRC:0,VS:3,PRTN:6,BJW:6,CYI:6,MPR:9,RNO:11,PIO:12,NDR:14,KEP:14,VRM:14,ITA:18,KDHL:18,VDA:19,KSPR:22,BILP:22,ADD:23,SMLA:25,","3","22.310952","73.180372","9","1","0"
"BH","Bharuch Jn","BHARUCH JN","Bhruch Baruch","","16","Off. Ankleshwar Road (NH 64), Railway Station Road, Railway Circle, Bharuch - 392 012, Gujarat","BH:0,CVJ:5,AKV:9,NIU:12,VRE:19,PAO:19,HAT:23,PLJ:25,","3","21.703299","72.999426","6","1","1712381809"
"ST","Surat","SURAT","","","16","Station Road Delhi Gate / Lambe Hanuman Road  , Surat - 395001, Gujarat","ST:0,URN:3,UDN:4,KSE:7,BHET:9,GTX:10,SYN:13,SCH:14,CHM:15,BGMR:20,MRL:21,KIM:23,GGAR:25,","4","21.205004","72.840916","9","0","1570551208"
"NVS","Navsari","NAVSARI","","","16","Station Road, Navsari - 396445, Gujarat","NVS:0,GNST:3,VDH:8,MRL:8,ACL:12,SCH:15,AML:16,BHET:20,BIM:21,UDN:25,JRS:25,","3","20.9476","72.913457","6","0","1570550725"
"BL","Valsad","VALSAD","","","16","Station road, Valsad - 396001, Gujarat","BL:0,ATUL:7,DGI:9,PAD:11,JRS:14,UVD:16,BIM:18,BAGD:20,AML:23,GNV:23,","3","20.607407","72.933723","7","0","1583593458"
"VAPI","Vapi","VAPI","Wapi Daman Diu Silvassa Silvasa","","16","Alight here for Daman/Silvassa. Geeta nagar, Vapi, Dist. Valsad - 396191, Gujarat","VAPI:0,BAGD:6,KEB:7,UVD:10,BLD:12,PAD:15,ATUL:19,SJN:23,","3","20.37346","72.90868","7","0","1583593458"
"DRD","Dahanu Road","DAHANU ROAD","","","16","Main Rd, Malyan, Dahanu, Dist. Palghar  - 401602, Maharashtra","DRD:0,GVD:11,VGN:12,BRRD:16,UBR:21,BOR:22,","16","19.9913","72.7436","5","0","0"
"BSR","Vasai Road","VASAI ROAD","","Bassein Road","16","Next to ST Depot,Navghar, Vasai 401202, Maharashtra","BSR:0,NSP:4,JCNR:5,VR:8,BYR:9,KARD:11,VTN:17,BVI:18,KHBV:19,SAH:24,","14","19.38261","72.83195","6","1","1583593458"
"BIRD","Bhiwandi Road","BHIWANDI ROAD","Biwandi Road","","1","Kamatghar, Bhiwandi, Tal-Bhiwandi , Dist-Thane 421302, Maharashtra","BIRD:0,UBCN:5,KHBV:8,KOPR:8,DDCL:8,DCTL:11,DIVA:13,DI:13,DTVL:13,KYN:14,MBQ:15,KARD:16,NIIJ:16,TNA:20,KLVA:20,JCNR:22,TPND:25,","3","19.26867","73.04613","5","0","0"
"KYN","Kalyan Jn","KALYAN JN","","","1","Opp. ST Bus Stop, Valipeer Rd, Bhoiwada, Kalyan West, District: Thane. Pin: 421301., Maharashtra","KYN:0,DI:5,KOPR:6,DDCL:6,DCTL:7,UBCN:9,DTVL:11,DIVA:11,NIIJ:12,MBQ:13,BUD:14,BIRD:14,TNA:18,KLVA:18,TPND:21,KHBV:22,NVRD:24,","15","19.23544","73.1311","9","1","0"
"KJT","Karjat Jn","KARJAT","","","1","Jn Pt PUNE/PNVL/KYN, Kacheri Road, Karjat, Dist. Raigad, Maharashtra","KJT:0,NRLN:13,NRL:13,JTT:19,KAD:24,WTP:25,","15","18.91154","73.32056","5","1","1754798376"
"LNL","Lonavla","LONAVALA","Lonoavale Lonavla","","1","NH 4, Market Rd, Siddharth Nagar, Lonavala 410401, Maharashtra","LNL:0,KAD:4,MVL:8,KMST:16,KNHE:20,VDN:25,","4","18.74931","73.40761","6","0","1639420474"
"SVJR","Shivajinagar","SHIVAJINAGAR","Shivajinagar","","1","[Tel; 020-25536092] Near MSRTC Bus Stand, Shivajinagar, Pune - 411005, Maharashtra","SVJR:0,PUNE:2,KK:4,DAPD:6,HDP:8,KSWD:9,PMP:12,SSV:13,MJBK:13,CCH:14,AKRD:17,LONI:18,FSG:18,DEHR:22,ALN:25,","3","18.532","73.8516","5","0","0"
"PUNE","Pune Jn","PUNE JN","Poona","Poona","1","Jn Pt. DD/MRJ/KYN, Tel: 020-26126575 , HH Prince Aga Khan Road , Opp to Hotel Sheraton Grand, Pune 411001, Maharashtra","PUNE:0,SVJR:2,KK:6,HDP:6,DAPD:8,MJBK:11,KSWD:11,SSV:11,PMP:14,CCH:16,LONI:16,FSG:16,AKRD:19,ALN:23,DEHR:24,","15","18.52939","73.87351","9","1","0"
"KOP","Kolhapur SCSM Trm","C SHAHUMHARAJ T","chatrapathi shahu maharaj terminus kolhapore sahu chhatrapati chatrapati","Chhatrapati Shahu Maharaj Terminus","1","Shri Chhatrapati Shahu Maharaj Terminus, Station Road, E Ward, Shahupuri, Kolhapur 416001, Maharashtra","KOP:0,VV:7,RKD:13,HTK:21,","2","16.702466","74.238006","5","2","1698900341"
"MRJ","Miraj Jn","MIRAJ JN","","","1","Near City Post Office, Station Road, Miraj, District: Sangli. Pincode: 416410. Tel: 0233-2222081, Maharashtra","MRJ:0,VRB:5,SLI:7,VJR:8,MDVR:11,JSP:12,SED:17,ARAG:17,NMGT:19,NDE:19,","3","16.82003","74.6389","6","1","1696312702"
"SLI","Sangli","SANGLI","","","1","College Corner,Miraj Rd, Sangli, Maharashtra","SLI:0,VRB:2,MDVR:4,MRJ:7,NDE:12,VJR:15,BVQ:19,JSP:19,SED:24,ARAG:24,","3","16.85769","74.58874","5","0","0"
"STR","Satara","SATARA","","","1","Kshetra Mahuli, Satara, District - Satara. Pin - 415003., Maharashtra","STR:0,JSV:7,KRG:11,PLV:16,RMP:21,","3","17.68855","74.06358","5","0","1577879594"
